Season (raw),Hero (raw),Role (raw),Assists (raw),Assists - Most in Game (raw),Critical Hit Damage (raw),Critical Hit Damage - Most in Game (raw),Critical Hit Kills (raw),Critical Hit Kills - Most in Game (raw),Critical Hits (raw),Critical Hits - Most in Game (raw),Critical Hits - Most in Life (raw),Damage Done (raw),Damage Done - Most in Game (raw),Damage Done - Most in Life (raw),Deaths (raw),Defensive Assists (raw),Defensive Assists - Most in Game (raw),Eliminations (raw),Eliminations - Most in Game (raw),Eliminations - Most in Life (raw),Final Blows (raw),Final Blows - Most in Game (raw),Games Played (raw),Games Tied (raw),Games Won (raw),Healing Accuracy - Best in Game (raw),Healing Done (raw),Healing Done - Most in Game (raw),Hero Damage Done (raw),Hero Damage Done - Most in Game (raw),Hero Damage Done - Most in Life (raw),Hero Wins (raw),Kill Streak - Best (raw),Melee Kills (raw),Obj Contest Time (raw),Obj Contest Time - Most in Game (raw),Objective Kills (raw),Objective Kills - Most in Game (raw),Objective Time (raw),Objective Time - Most in Game (raw),Offensive Assists (raw),Offensive Assists - Most in Game (raw),Scoped Accuracy - Best in Game (raw),Scoped Critical Hit Kills (raw),Scoped Critical Hits (raw),Scoped Critical Hits - Most in Game (raw),Self Healing (raw),Self Healing - Most in Game (raw),Solo Kills (raw),Solo Kills - Most in Game (raw),Time Played (raw),Time Spent on Fire (raw),Time Spent on Fire - Most in Game (raw),Ultimate Damage (raw),Weapon Accuracy - Best in Game (raw)
Season 02,Pharah,Damage,6,2,0,0,0,0,0,0,0,"3,323","3,323","1,848",4,0,0,8,8,8,2,2,0,0,0,0,0,0,"3,012","3,012","1,676",0,8,0,6,6,2,2,24,24,0,0,0,0,0,0,0,0,2,2,287,0,0,0,0
Season 02,Ramattra,Tank,29,6,0,0,1,1,241,99,35,"35,325","11,875","4,644",19,0,0,47,16,8,18,7,2,0,1,0,0,0,"30,969","9,536","3,674",1,8,0,227,116,16,6,427,161,11,6,0,0,0,0,0,0,0,0,"1,678",0,0,0,0
Season 02,Reaper,Damage,40,0,0,0,12,4,913,160,85,"43,675","7,139","3,060",36,0,0,93,18,15,53,11,5,0,1,0,"7,383","1,186","38,884","6,405","3,060",1,15,0,295,105,39,9,500,267,0,0,0,0,0,0,"7,383","1,186",10,3,"2,753",0,0,0,0
Season 02,Reinhardt,Tank,14,2,0,0,0,0,0,0,0,"23,419","9,073","4,862",13,0,0,39,19,13,25,12,2,0,1,0,0,0,"21,298","7,972","4,281",1,13,0,324,218,18,12,552,293,6,2,0,0,0,0,0,0,2,2,"1,360",0,0,0,0
Season 02,Roadhog,Tank,53,5,0,0,15,5,"1,088",152,130,"65,345","18,616","6,685",44,0,0,120,29,15,62,20,5,0,3,0,"30,531","6,299","56,557","11,632","4,855",3,15,0,440,95,58,13,"1,067",308,18,5,0,0,0,0,"30,531","6,299",1,1,"3,783",0,0,0,0
Season 02,Sigma,Tank,81,8,0,0,0,0,0,0,0,"76,386","18,614","5,237",33,0,0,127,40,12,45,16,6,0,4,0,0,0,"67,785","16,540","3,904",4,12,0,449,164,52,15,866,269,24,0,0,0,0,0,0,0,7,3,"3,528",0,0,0,1
Season 02,Sojourn,Damage,89,6,0,0,0,0,0,0,0,"98,285","18,345","5,548",65,0,0,170,39,13,81,19,7,0,3,0,0,0,"76,863","12,746","4,848",3,13,0,191,69,82,20,539,116,0,0,0,0,0,0,0,0,6,3,"5,058",0,0,0,0
Season 02,Soldier: 76,Damage,246,9,0,0,27,5,969,87,37,"273,394","24,864","7,042",184,115,12,473,33,16,227,17,23,0,8,0,"44,821","3,419","216,867","18,442","5,688",8,16,0,887,89,214,19,"1,628",232,0,0,0,0,0,0,"21,840","1,847",23,3,"14,339",0,0,0,0
Season 02,Sombra,Damage,2,1,0,0,1,1,4,4,4,595,595,595,1,0,0,4,4,4,2,2,0,0,0,0,250,250,565,565,565,0,4,0,5,5,1,1,5,5,1,1,0,0,0,0,0,0,0,0,111,0,0,0,0
Season 02,Symmetra,Damage,32,8,0,0,0,0,0,0,0,"19,685","8,077","4,307",15,0,0,57,27,17,25,10,2,0,1,0,0,0,"18,600","7,153","4,307",1,17,0,125,49,35,19,135,54,0,0,0,0,0,0,0,0,3,2,"1,173",0,0,0,1
Season 02,Torbjörn,Damage,26,0,0,0,5,2,56,31,15,"32,929","9,640","5,290",14,0,0,48,17,8,22,8,3,0,2,0,0,0,"25,163","9,639","5,265",2,8,0,32,11,20,11,58,36,0,0,0,0,0,0,0,0,4,2,"1,535",0,0,0,0
Season 02,Widowmaker,Damage,1,3,0,0,7,3,13,4,3,"6,097","2,044","1,454",7,0,0,10,5,3,9,4,1,0,0,0,0,0,"5,476","2,044","1,204",0,3,0,1,1,1,1,7,6,0,0,1,7,10,4,0,0,5,2,477,0,0,0,0
