Season (raw),Hero (raw),Role (raw),Assists (raw),Assists - Most in Game (raw),Critical Hit Damage (raw),Critical Hit Damage - Most in Game (raw),Critical Hit Kills (raw),Critical Hit Kills - Most in Game (raw),Critical Hits (raw),Critical Hits - Most in Game (raw),Critical Hits - Most in Life (raw),Damage Done (raw),Damage Done - Most in Game (raw),Damage Done - Most in Life (raw),Deaths (raw),Defensive Assists (raw),Defensive Assists - Most in Game (raw),Eliminations (raw),Eliminations - Most in Game (raw),Eliminations - Most in Life (raw),Final Blows (raw),Final Blows - Most in Game (raw),Games Played (raw),Games Tied (raw),Games Won (raw),Healing Accuracy - Best in Game (raw),Healing Done (raw),Healing Done - Most in Game (raw),Hero Damage Done (raw),Hero Damage Done - Most in Game (raw),Hero Damage Done - Most in Life (raw),Hero Wins (raw),Kill Streak - Best (raw),Melee Kills (raw),Obj Contest Time (raw),Obj Contest Time - Most in Game (raw),Objective Kills (raw),Objective Kills - Most in Game (raw),Objective Time (raw),Objective Time - Most in Game (raw),Offensive Assists (raw),Offensive Assists - Most in Game (raw),Scoped Accuracy - Best in Game (raw),Scoped Critical Hit Kills (raw),Scoped Critical Hits (raw),Scoped Critical Hits - Most in Game (raw),Self Healing (raw),Self Healing - Most in Game (raw),Solo Kills (raw),Solo Kills - Most in Game (raw),Time Played (raw),Time Spent on Fire (raw),Time Spent on Fire - Most in Game (raw),Ultimate Damage (raw),Weapon Accuracy - Best in Game (raw)
Season 03,Zenyatta,Support,197,39,0,0,18,3,134,13,8,"124,239","11,541","5,106",101,387,42,306,35,15,109,11,14,0,8,0,"122,211","11,290","93,111","8,171","3,212",8,15,0,348,75,130,24,890,205,221,26,0,0,0,0,"2,232",325,9,2,"9,901",0,0,0,1
Season 04,Ana,Support,96,21,0,0,0,0,0,0,0,"41,339","5,233","2,256",64,156,17,120,20,10,24,4,11,0,5,0,"115,690","18,473","31,155","3,082","1,389",5,10,0,264,60,61,11,"1,105",189,97,16,1,0,0,0,"2,751",395,2,2,"7,854",0,0,0,0
Season 04,Ashe,Damage,114,1,0,0,44,5,215,17,12,"174,686","15,703","7,559",106,0,0,245,36,12,131,14,13,0,5,0,0,0,"143,495","12,653","5,611",5,12,0,268,71,92,12,740,85,0,0,1,42,163,13,0,0,23,3,"9,371",0,0,0,1
Season 04,Baptiste,Support,49,37,0,0,6,2,75,22,11,"28,500","7,285","4,890",26,145,43,80,25,13,31,9,6,0,4,1,"69,364","15,219","23,549","5,888","2,843",4,13,0,137,44,43,15,500,112,20,7,0,0,0,0,"4,309","1,005",4,3,"4,025",0,0,0,1
Season 04,Bastion,Damage,248,6,0,0,16,3,395,36,17,"411,273","24,308","14,192",168,0,0,530,33,15,282,21,25,0,10,0,0,0,"291,386","19,530","7,974",10,15,0,544,62,206,18,"2,603",227,0,0,0,0,0,0,0,0,28,3,"16,116",0,0,0,1
Season 04,Brigitte,Support,24,24,0,0,0,0,0,0,0,"7,336","4,627","1,151",11,38,0,32,22,6,8,5,1,0,1,0,"14,739","10,547","6,670","4,291",976,1,6,0,129,84,16,11,158,84,18,0,0,0,0,0,"2,265",0,2,1,924,0,0,0,0
Season 04,Cassidy,Damage,46,0,0,0,10,6,55,13,6,"58,797","9,398","4,524",46,0,0,118,29,9,72,21,7,0,4,0,0,0,"49,967","9,398","3,390",4,9,0,202,42,53,11,429,125,0,0,0,0,0,0,0,0,8,2,"3,939",0,0,0,1
Season 04,Doomfist,Tank,6,1,0,0,0,0,29,16,13,"3,933","2,338","1,466",6,0,0,10,7,4,4,2,1,0,0,0,0,0,"3,336","2,085","1,213",0,4,0,59,45,3,3,59,45,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0
Season 04,Hanzo,Damage,70,10,0,0,45,12,105,19,5,"120,047","15,003","5,931",75,0,0,183,28,10,113,21,11,0,5,0,0,0,"88,609","9,509","4,763",5,10,0,111,17,56,8,488,65,0,0,0,0,0,0,0,0,34,7,"6,798",0,0,0,0
Season 04,Junker Queen,Tank,25,12,0,0,0,0,0,0,0,"19,861","12,802","4,989",8,0,0,36,18,6,11,6,2,0,1,0,"3,478","2,799","14,695","10,335","4,111",1,6,0,242,205,16,10,253,205,0,0,0,0,0,0,"3,478","2,799",0,0,911,0,0,0,0
Season 04,Junkrat,Damage,0,0,0,0,0,0,0,0,0,"2,086","1,790",910,3,0,0,1,1,1,1,1,0,0,0,0,0,0,"1,966","1,790",910,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,188,0,0,0,0
Season 04,Kiriko,Support,69,37,0,0,21,3,92,9,4,"39,377","4,582","1,594",122,388,40,114,13,6,45,6,18,0,9,0,"237,991","18,836","32,126","3,522","1,154",9,6,0,698,108,58,9,"1,613",245,137,13,0,0,0,0,0,0,6,2,"13,828",0,0,0,1
Season 04,Lúcio,Support,60,17,0,0,4,1,37,16,6,"18,316","4,841","1,701",16,60,16,73,20,13,12,5,4,0,3,0,"31,800","10,189","15,187","4,676","1,687",3,13,0,279,115,45,12,306,132,45,13,0,0,0,0,"5,028","1,584",0,0,"2,291",0,0,0,0
Season 04,Mei,Damage,197,13,0,0,0,0,0,0,0,"518,546","37,539","18,463",101,0,0,352,31,14,155,13,16,0,11,0,"15,597","1,142","118,441","8,072","4,788",11,14,0,830,141,147,13,"1,261",141,122,13,0,0,0,0,"15,597","1,142",17,3,"10,257",0,0,0,1
Season 04,Mercy,Support,8,29,0,0,5,3,22,11,7,"4,059","1,626","1,106",49,181,28,16,7,6,8,4,8,0,5,0,"103,546","13,808","3,293","1,306",986,5,6,0,224,43,6,4,464,69,81,17,0,0,0,0,"6,309",806,1,1,"5,769",0,0,0,0
Season 04,Moira,Support,497,44,0,0,0,0,0,0,0,"171,585","10,077","5,905",125,793,51,651,43,22,154,13,33,0,21,0,"425,951","25,862","150,570","8,372","4,428",21,22,0,"1,872",190,323,30,"2,718",218,0,0,0,0,0,0,"49,291","3,343",17,4,"19,968",0,0,0,0
Season 04,Pharah,Damage,2,1,0,0,0,0,0,0,0,"3,567","2,825","1,890",4,0,0,2,2,2,0,0,0,0,0,0,0,0,"3,398","2,731","1,795",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0
Season 04,Ramattra,Tank,38,4,0,0,0,0,270,79,39,"54,278","16,455","9,548",13,0,0,75,22,19,37,10,3,0,1,0,676,284,"41,364","12,828","7,349",1,19,0,422,155,45,16,672,269,12,4,0,0,0,0,0,0,1,1,"1,962",0,0,0,0
Season 04,Reaper,Damage,48,0,0,0,16,4,"1,058",191,74,"73,678","12,543","5,142",49,0,0,130,23,10,82,14,5,0,1,0,"9,741","2,490","57,822","10,773","4,721",1,10,0,325,48,58,12,628,109,0,0,0,0,0,0,"9,741","2,490",13,3,"3,995",0,0,0,0
Season 04,Reinhardt,Tank,19,2,0,0,0,0,0,0,0,"28,592","10,270","4,096",18,0,0,38,13,8,19,7,2,0,1,0,0,0,"23,269","8,118","3,222",1,8,0,124,74,12,4,288,138,5,2,0,0,0,0,0,0,1,1,"1,666",0,0,0,0
Season 04,Sigma,Tank,23,6,0,0,0,0,0,0,0,"26,342","9,836","5,403",9,0,0,41,21,8,18,11,2,0,1,0,0,0,"22,185","7,501","4,611",1,8,0,191,98,25,15,382,289,9,0,0,0,0,0,0,0,1,1,"1,246",0,0,0,1
Season 04,Soldier: 76,Damage,92,6,0,0,8,3,361,45,26,"124,354","13,361","6,404",58,31,9,177,24,10,85,15,9,0,3,0,"16,683","1,734","97,330","10,185","4,854",3,10,0,365,120,77,17,786,120,0,0,0,0,0,0,"8,174",877,13,2,"6,150",0,0,0,0
Season 04,Sombra,Damage,0,0,0,0,0,0,1,1,1,583,583,538,1,0,0,0,0,0,0,0,0,0,0,0,130,130,583,583,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
Season 04,Symmetra,Damage,281,9,0,0,0,0,0,0,0,"245,519","13,764","6,305",145,0,0,502,39,16,221,18,22,0,13,0,0,0,"199,310","11,210","4,622",13,16,0,885,62,223,14,"1,168",147,0,0,0,0,0,0,0,0,23,3,"14,235",0,0,0,1
Season 04,Torbjörn,Damage,8,0,0,0,2,1,44,30,17,"13,957","8,373","3,304",7,0,0,19,11,6,11,8,1,0,1,0,0,0,"10,647","6,612","2,327",1,6,0,28,24,10,7,28,24,0,0,0,0,0,0,0,0,2,1,651,0,0,0,0
Season 04,Widowmaker,Damage,18,3,0,0,42,12,72,16,11,"28,791","6,243","3,335",24,0,0,75,20,9,57,15,4,0,3,0,0,0,"26,824","6,003","3,335",3,9,0,7,3,12,7,59,22,0,0,1,42,52,15,0,0,21,8,"2,216",0,0,0,1
Season 04,Winston,Tank,13,3,0,0,0,0,0,0,0,"7,801","3,525","3,265",4,0,0,20,11,11,7,4,1,0,0,0,0,0,"7,058","3,150","2,917",0,11,4,95,56,12,6,153,78,0,0,0,0,0,0,0,0,0,0,561,0,0,0,1
Season 04,Wrecking Ball,Tank,1,0,0,0,0,0,3,3,3,195,195,105,2,0,0,1,1,1,0,0,0,0,0,0,0,0,195,195,105,0,1,0,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
Season 04,Zenyatta,Support,31,34,0,0,4,2,26,6,5,"28,900","10,164","3,665",25,70,35,56,22,7,25,8,4,0,2,0,"29,146","7,971","20,861","5,938","2,232",2,7,0,58,27,29,13,397,203,36,16,0,0,0,0,528,152,3,2,"2,467",0,0,0,0
Season 05,Ana,Support,3,7,0,0,0,0,0,0,0,"2,094","2,094","2,021",1,3,3,4,4,4,1,1,0,0,0,0,"1,615","1,615","1,332","1,332","1,259",0,4,0,0,0,1,1,0,0,4,4,0,0,0,0,0,0,0,0,229,0,0,0,0
Season 05,Ashe,Damage,61,3,0,0,22,4,117,15,9,"107,458","12,626","5,600",51,0,0,140,18,9,79,11,6,0,3,0,0,0,"83,344","8,909","3,944",3,9,0,184,31,63,13,739,246,0,0,1,21,94,14,0,0,16,3,"4,920","1,085",0,0,1
Season 05,Baptiste,Support,2,3,0,0,0,0,6,6,4,"1,350","1,350",896,3,4,4,3,3,2,1,1,0,0,0,1,"2,628","2,338","1,350","1,350",896,0,2,0,8,8,3,3,76,76,0,0,0,0,0,0,432,328,0,0,259,0,0,0,0
Season 05,Bastion,Damage,101,4,0,0,3,1,181,25,10,"233,023","23,622","10,877",102,0,0,238,26,16,137,14,11,0,4,0,0,0,"144,802","14,940","6,998",4,16,0,304,39,95,13,"1,221",197,0,0,0,0,0,0,0,0,7,1,"8,217","1,880",0,0,0
Season 05,Brigitte,Support,3,10,0,0,0,0,0,0,0,"3,053","3,053","1,850",3,12,0,5,5,3,2,2,0,0,0,0,"3,535","3,535","2,285","2,285","1,432",0,3,0,18,18,2,2,18,18,3,0,0,0,0,0,797,0,0,0,233,15,0,0,0
Season 05,Cassidy,Damage,15,0,0,0,3,1,16,6,5,"18,531","9,907","2,662",15,0,0,34,17,8,19,9,2,0,2,0,0,0,"15,341","7,542","2,513",2,8,0,22,9,13,6,33,19,0,0,0,0,0,0,0,0,1,1,"1,133",182,0,0,0
Season 05,D.Va,Tank,5,1,0,0,1,1,192,168,168,"3,768","2,915","2,915",1,0,0,9,5,5,4,3,0,0,0,0,0,0,"3,426","2,737","2,737",0,5,0,1,1,2,2,9,9,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0
Season 05,Genji,Damage,2,0,0,0,0,0,4,4,3,"2,520","2,520","1,390",3,0,0,3,3,3,1,1,0,0,0,0,0,0,"1,988","1,988","1,093",0,3,0,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0
Season 05,Hanzo,Damage,14,8,0,0,11,5,23,8,6,"23,264","7,860","5,354",14,0,0,37,13,8,23,7,2,0,1,0,0,0,"18,711","6,947","4,625",1,8,0,51,31,15,7,78,39,0,0,0,0,0,0,0,0,6,3,"1,288",254,0,0,0
Season 05,Junker Queen,Tank,26,6,0,0,0,0,0,0,0,"20,103","9,695","3,721",12,0,0,34,18,8,7,5,2,0,1,0,"3,875","1,596","18,054","9,031","3,681",1,8,0,89,57,6,5,250,204,0,0,0,0,0,0,"3,875","1,596",0,0,"1,100",129,0,0,0
Season 05,Junkrat,Damage,1,0,0,0,0,0,0,0,0,"2,211","2,211","1,882",1,0,0,2,2,2,1,1,0,0,0,0,0,0,"1,066","1,066",737,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,61,0,0,0,0
Season 05,Kiriko,Support,14,25,0,0,3,2,21,15,6,"7,271","5,011","1,201",22,63,28,23,19,6,9,8,2,0,2,0,"30,959","13,225","6,211","4,271","1,201",2,6,0,117,65,13,12,479,200,22,9,0,0,0,0,0,0,0,0,"2,129",110,0,0,0
Season 05,Lúcio,Support,4,4,0,0,2,2,6,6,5,"1,839","1,754","1,569",4,3,3,6,6,6,2,2,0,0,0,0,"3,609","3,441","1,674","1,589","1,404",0,6,0,30,30,3,3,115,115,1,1,0,0,0,0,701,665,0,0,271,26,0,0,0
Season 05,Mei,Damage,92,15,0,0,0,0,0,0,0,"213,935","33,153","12,056",46,0,0,154,26,13,62,10,6,0,4,0,"6,954",997,"50,447","7,425","3,110",4,13,0,589,96,93,23,925,260,69,15,0,0,0,0,"6,954",997,8,2,"4,369",979,0,0,1
Season 05,Mercy,Support,1,25,0,0,0,0,1,1,1,"1,013",380,380,17,54,22,3,2,1,2,2,3,0,1,0,"40,044","15,489",658,280,183,1,1,0,136,104,3,2,181,104,28,11,0,0,0,0,"2,879","1,187",0,0,"2,059",439,0,0,0
Season 05,Moira,Support,50,29,0,0,0,0,0,0,0,"24,796","5,003","3,506",33,88,32,63,25,11,13,5,5,0,1,0,"63,532","14,896","21,526","4,639","2,543",1,11,0,309,108,35,13,587,155,0,0,0,0,0,0,"10,021","2,447",2,1,"2,986",629,0,0,0
Season 05,Orisa,Tank,4,2,0,0,0,0,0,0,0,"11,227","8,717","8,717",1,0,0,9,5,5,5,3,1,0,0,0,0,0,"6,365","4,671","4,671",0,5,0,78,44,5,4,81,44,3,2,0,0,0,0,0,0,0,0,335,77,0,0,0
Season 05,Ramattra,Tank,48,6,0,0,2,1,351,74,45,"63,547","16,432","8,683",26,0,0,87,23,17,39,9,3,0,2,0,"1,473",362,"52,564","13,238","6,862",2,17,0,397,97,40,11,728,238,16,6,0,0,0,0,0,0,1,1,"2,454",492,0,0,0
Season 05,Reaper,Damage,33,0,0,0,7,3,737,140,107,"51,116","7,007","5,647",34,0,0,78,19,16,45,13,4,0,1,0,"7,747","1,285","42,487","6,749","5,647",1,16,0,273,93,32,9,316,93,0,0,0,0,0,0,"7,747","1,285",7,2,"2,634",431,0,0,1
Season 05,Reinhardt,Tank,14,2,0,0,0,0,0,0,0,"20,558","6,893","3,444",12,0,0,37,18,8,23,12,2,0,2,0,0,0,"18,503","6,447","3,089",2,8,0,119,49,18,6,152,65,3,2,0,0,0,0,0,0,2,2,"1,138",292,0,0,0
Season 05,Sigma,Tank,360,8,0,0,0,0,0,0,0,"412,576","27,879","11,107",132,0,0,631,46,22,269,26,26,0,17,0,0,0,"323,913","25,617","9,021",17,22,0,"3,286",316,353,29,"5,744",561,94,0,0,0,0,0,0,0,18,3,"18,189","5,435",0,0,1
Season 05,Soldier: 76,Damage,6,2,0,0,4,1,74,20,17,"25,789","6,523","3,700",22,10,4,29,10,5,23,8,2,0,0,0,"3,653",907,"23,546","6,195","3,628",0,5,0,47,28,9,3,72,28,0,0,0,0,0,0,"2,236",521,3,1,"1,463",187,0,0,0
Season 05,Symmetra,Damage,17,3,0,0,0,0,0,0,0,"19,790","5,205","2,716",16,0,0,29,8,5,12,4,2,0,0,0,55,55,"16,775","4,466","2,188",0,5,0,98,33,13,3,106,38,0,0,0,0,0,0,0,0,4,2,"1,045",229,0,0,1
Season 05,Winston,Tank,4,1,0,0,0,0,0,0,0,"5,553","5,553","2,585",5,0,0,4,4,3,0,0,0,0,0,0,0,0,"5,490","5,490","2,584",0,3,2,65,65,2,2,160,160,0,0,0,0,0,0,0,0,0,0,340,51,0,0,1
Season 05,Zarya,Tank,15,11,0,0,0,0,0,0,0,"15,383","9,103","5,098",7,11,10,22,16,10,7,4,1,0,1,0,0,0,"13,839","7,624","4,607",1,10,0,157,127,14,12,159,127,1,1,0,0,0,0,0,0,0,0,712,169,0,0,1
Season 05,Zenyatta,Support,6,15,0,0,0,0,6,6,3,"4,776","4,776","2,460",4,15,15,10,10,6,4,4,1,0,1,0,"3,881","3,881","3,876","3,876","1,560",1,6,0,25,25,6,6,25,25,7,7,0,0,0,0,139,139,2,2,408,27,0,0,0
Season 06,Ana,Support,85,35,0,0,0,0,0,0,0,"32,070","5,372","2,769",55,133,30,119,19,9,34,8,13,0,6,0,"94,302","21,161","26,173","4,341","1,904",6,9,0,395,143,63,14,862,143,96,16,1,0,0,0,"1,843",505,4,1,"6,543",904,86,0,0
Season 06,Ashe,Damage,134,4,0,0,18,4,172,22,11,"154,557","17,347","5,600",90,0,0,232,32,13,98,13,13,0,5,0,0,0,"133,066","14,335","4,538",5,13,0,300,44,90,18,837,137,0,0,1,16,114,21,0,0,14,2,"8,614",944,48,0,1
Season 06,Baptiste,Support,10,5,0,0,1,1,16,13,6,"3,692","2,413",917,6,14,6,14,8,4,4,2,1,0,1,1,"7,627","3,572","3,228","2,299",759,1,4,0,16,7,6,3,43,30,2,2,0,0,0,0,579,282,1,1,631,1,1,0,0
Season 06,Bastion,Damage,191,3,0,0,13,3,239,23,11,"291,588","27,398","19,033",100,0,0,387,31,23,196,15,16,0,9,0,"5,306",490,"209,170","15,008","10,017",9,23,0,531,107,197,16,"2,120",232,0,0,0,0,0,0,0,0,8,2,"11,472","2,670",77,0,1
Season 06,Brigitte,Support,19,22,0,0,0,0,0,0,0,"7,319","4,662","2,336",10,36,0,23,18,7,4,3,2,0,1,0,"14,583","8,448","6,199","3,857","1,706",1,7,0,128,87,12,11,141,95,16,0,0,0,0,0,"2,154",0,0,0,902,180,57,0,0
Season 06,Cassidy,Damage,55,0,0,0,8,2,70,12,9,"68,755","11,671","4,667",54,0,0,115,23,11,60,11,7,0,5,0,0,0,"62,577","9,672","3,793",5,11,0,174,44,46,11,236,44,0,0,0,0,0,0,0,0,12,5,"4,837",443,54,0,0
Season 06,D.Va,Tank,9,2,0,0,0,0,99,99,73,"4,926","4,926","3,654",2,0,0,12,12,9,3,3,0,0,0,0,0,0,"4,821","4,821","3,549",0,9,0,16,16,3,3,16,16,0,0,0,0,0,0,0,0,0,0,279,48,14,0,0
Season 06,Doomfist,Tank,60,9,0,0,4,3,496,116,61,"64,970","12,243","5,858",37,0,0,126,26,14,64,13,6,0,2,0,0,0,"58,908","11,432","5,406",2,14,0,545,181,44,8,729,181,0,0,0,0,0,0,0,0,3,1,"3,723",553,43,0,0
Season 06,Echo,Damage,6,3,0,0,0,0,10,10,5,"4,151","2,864","1,580",5,0,0,10,9,5,4,4,1,0,0,0,2,2,"3,168","2,626","1,468",0,5,0,17,16,5,4,21,21,0,0,0,0,0,0,0,0,0,0,350,36,16,0,0
Season 06,Genji,Damage,2,1,0,0,0,0,11,6,5,"4,987","3,200","3,200",5,0,0,3,2,1,1,1,1,0,1,0,0,0,"3,683","2,378","2,378",1,1,0,11,6,2,2,14,8,0,0,0,0,0,0,0,0,0,0,368,8,8,0,0
Season 06,Hanzo,Damage,70,14,0,0,37,7,95,18,6,"96,582","11,170","5,676",64,0,0,188,33,10,118,22,10,0,6,0,0,0,"86,362","10,532","4,400",6,10,0,206,41,60,14,570,105,0,0,0,0,0,0,0,0,27,4,"6,461",806,40,0,0
Season 06,Illari,Support,109,19,0,0,15,4,134,21,7,"77,473","9,914","4,276",96,0,0,195,21,11,85,11,14,0,6,0,"155,070","16,754","64,315","7,794","2,788",6,11,0,444,66,81,14,"1,368",255,19,4,0,0,0,0,"10,255","1,573",9,3,"9,657",938,58,"11,375",1
Season 06,Junker Queen,Tank,28,13,0,0,0,0,0,0,0,"29,913","12,748","7,117",14,0,0,56,25,10,28,15,3,0,2,0,"5,131","2,253","25,389","10,369","5,041",2,10,0,269,133,26,15,297,133,0,0,0,0,0,0,"5,131","2,253",2,1,"1,445",314,73,0,0
Season 06,Junkrat,Damage,9,1,0,0,0,0,0,0,0,"11,851","5,317","3,776",6,0,0,16,11,6,7,4,1,0,1,0,0,0,"10,051","5,117","3,376",1,6,0,15,12,2,2,17,12,1,1,0,0,0,0,0,0,4,3,559,1,0,0,0
Season 06,Kiriko,Support,12,25,0,0,4,2,14,5,3,"6,257","2,386","1,228",20,79,26,19,8,6,7,3,4,0,2,0,"53,009","12,693","5,263","1,996","1,003",2,6,0,167,82,11,6,480,194,24,8,0,0,0,0,0,0,1,1,"2,885",247,37,0,1
Season 06,Lifeweaver,Support,31,40,0,0,0,0,125,39,31,"8,444","1,648",949,46,213,40,37,11,5,6,4,11,0,6,0,"145,468","21,486","7,647","1,624",949,6,5,0,376,76,21,5,804,170,0,0,0,0,0,0,"7,556","1,827",0,0,"7,431",265,24,0,1
Season 06,Lúcio,Support,17,8,0,0,0,0,44,24,15,"8,423","3,161","2,270",12,19,8,20,6,5,3,2,1,0,0,0,"18,402","4,989","7,413","3,161","2,270",0,5,0,167,57,14,5,246,80,8,3,0,0,0,0,"3,598","1,528",0,0,"1,172",133,38,0,0
Season 06,Mei,Damage,81,12,0,0,0,0,0,0,0,"225,081","36,288","13,725",51,0,0,134,30,7,53,12,7,0,2,0,"6,951",972,"50,288","9,644","4,445",2,7,0,579,111,68,18,940,166,49,12,0,0,0,0,"6,951",972,3,1,"4,711",733,46,0,1
Season 06,Mercy,Support,37,27,0,0,0,0,0,0,0,309,269,141,6,33,24,2,2,1,2,2,1,0,1,0,"13,526","9,678",289,249,141,1,1,0,34,25,0,0,80,55,17,16,0,0,0,0,990,656,0,0,848,73,28,0,1
Season 06,Moira,Support,183,33,0,0,0,0,0,0,0,"73,838","8,197","4,239",71,306,43,253,46,19,70,11,13,0,7,0,"188,715","20,932","63,904","7,087","3,797",7,19,0,729,110,119,22,"1,294",238,0,0,0,0,0,0,"28,210","3,288",4,1,"9,377","1,098",50,0,0
Season 06,Orisa,Tank,6,3,0,0,0,0,0,0,0,"5,604","4,409","1,840",4,0,0,7,4,4,1,1,1,0,0,0,0,0,"4,174","3,030","1,363",0,4,0,26,21,6,4,27,21,5,3,0,0,0,0,0,0,0,0,285,2,2,0,0
Season 06,Pharah,Damage,7,4,0,0,0,0,0,0,0,"10,937","4,416","2,253",9,0,0,14,5,3,7,3,1,0,1,0,0,0,"10,179","4,010","2,253",1,3,0,5,3,1,1,5,3,0,0,0,0,0,0,0,0,6,3,702,73,24,0,0
Season 06,Ramattra,Tank,79,8,0,0,2,1,516,147,61,"84,444","17,420","7,254",39,0,0,137,28,14,58,11,5,1,2,0,871,270,"66,744","13,752","6,207",2,14,0,531,95,64,13,996,262,27,8,0,0,0,0,0,0,2,1,"4,085",620,37,0,0
Season 06,Reaper,Damage,38,2,0,0,7,2,587,172,85,"35,664","9,651","5,392",24,0,0,68,26,8,30,10,3,0,2,0,"5,095","1,170","29,520","7,740","4,234",2,8,0,151,52,31,15,250,134,0,0,0,0,0,0,"5,095","1,170",5,2,"2,065",336,39,0,0
Season 06,Reinhardt,Tank,12,2,0,0,0,0,0,0,0,"19,365","7,268","5,779",14,0,0,27,12,11,15,7,1,0,0,0,0,0,"14,929","5,938","4,121",0,11,0,133,50,10,4,163,50,4,2,0,0,0,0,0,0,1,1,"1,162",151,26,0,0
Season 06,Roadhog,Tank,2,1,0,0,0,0,67,47,40,"2,570","2,044","1,522",4,0,0,2,2,2,0,0,0,0,0,0,"1,632","1,250","2,570","2,044","1,522",0,2,0,20,20,0,0,72,72,1,1,0,0,0,0,"1,632","1,250",0,0,232,0,0,0,0
Season 06,Sigma,Tank,281,10,0,0,0,0,0,0,0,"328,582","24,393","9,619",108,0,0,515,43,17,233,22,21,1,13,0,0,0,"269,427","18,703","8,246",13,17,0,"2,655",199,278,26,"5,899",561,77,0,0,0,0,0,0,0,16,3,"15,369","4,031",70,0,1
Season 06,Sojourn,Damage,69,4,0,0,0,0,0,0,0,"79,519","16,926","9,729",42,0,0,124,28,15,55,14,7,0,1,0,0,0,"64,644","14,962","8,905",1,15,0,175,74,44,13,275,74,0,0,0,0,0,0,0,0,6,3,"4,160",561,52,0,0
Season 06,Soldier: 76,Damage,139,5,0,0,17,3,455,51,23,"166,493","15,599","7,052",76,52,6,273,22,18,134,17,11,0,7,0,"23,547","2,281","141,031","15,028","6,593",7,18,0,357,166,108,18,785,197,0,0,0,0,0,0,"11,743","1,080",13,3,"8,196","1,193",59,0,0
Season 06,Sombra,Damage,0,0,0,0,0,0,10,10,10,419,419,419,1,0,0,1,1,1,1,1,0,0,0,0,25,25,419,419,419,0,1,0,3,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
Season 06,Symmetra,Damage,204,13,0,0,0,0,0,0,0,"172,058","12,373","5,508",93,0,0,343,31,17,139,14,16,0,10,0,720,178,"142,822","10,988","5,423",10,17,0,592,76,148,18,977,141,0,0,0,0,0,0,0,0,13,2,"9,822","1,696",41,0,1
Season 06,Torbjörn,Damage,26,0,0,0,6,3,51,13,13,"36,335","5,956","5,872",16,0,0,50,11,9,24,6,3,0,1,0,0,0,"30,846","5,956","5,872",1,9,0,80,30,20,9,166,54,0,0,0,0,0,0,0,0,3,2,"1,766",269,39,0,0
Season 06,Tracer,Damage,16,0,0,0,0,0,142,118,39,"7,993","6,384","2,998",5,0,0,23,20,10,7,6,1,0,1,0,0,0,"7,047","5,865","2,567",1,10,0,12,8,4,4,61,53,0,0,0,0,0,0,675,583,2,2,637,75,24,0,0
Season 06,Widowmaker,Damage,14,4,0,0,8,3,11,4,2,"9,682","2,825","1,500",13,0,0,28,11,7,14,4,2,0,1,0,0,0,"8,668","2,825","1,500",1,7,0,6,5,8,4,52,35,0,0,1,7,8,3,0,0,4,2,"1,142",64,21,0,1
Season 06,Winston,Tank,3,1,0,0,0,0,0,0,0,"5,163","4,114","1,987",7,0,0,4,4,2,1,1,1,0,0,0,0,0,"4,527","3,596","1,860",0,2,0,67,57,4,4,73,63,0,0,0,0,0,0,0,0,0,0,457,31,16,0,1
Season 06,Zarya,Tank,21,6,0,0,0,0,0,0,0,"37,736","15,381","6,418",18,7,5,35,12,9,14,5,2,0,0,0,0,0,"32,387","13,007","4,203",0,9,0,214,75,18,5,369,164,4,2,0,0,0,0,0,0,0,0,"1,593",200,29,0,1
Season 07,Ana,Support,70,26,0,0,0,0,0,0,0,"33,836","6,796","2,001",60,128,21,98,17,6,28,6,9,0,3,0,"97,457","16,950","26,437","4,976","1,936",3,6,0,314,129,35,8,840,129,84,16,1,0,0,0,"1,066",209,2,1,"6,396",512,45,0,0
Season 07,Ashe,Damage,18,1,0,0,4,3,21,6,6,"22,737","5,594","3,942",14,0,0,31,15,8,13,5,2,0,1,0,0,0,"18,619","5,149","3,942",1,8,0,39,15,9,6,173,126,0,0,1,3,18,6,0,0,0,0,"1,252",74,18,0,1
Season 07,Baptiste,Support,1,6,0,0,0,0,0,0,0,645,645,542,1,7,7,2,2,2,1,1,0,0,0,1,"2,504","2,504",558,558,455,0,2,0,1,1,1,1,1,1,1,1,0,0,0,0,112,112,0,0,134,14,14,0,0
Season 07,Bastion,Damage,63,4,0,0,7,2,74,14,6,"98,311","14,975","7,675",40,0,0,134,26,10,71,17,6,0,4,0,0,0,"70,289","9,387","5,279",4,10,0,186,95,70,12,504,114,0,0,0,0,0,0,0,0,5,2,"3,900",512,35,0,0
